FindBin,s,0,0
rawstring-qm,s,0,0
leancheck,s,10,0
reinterpret-cast,s,1,0
nondeterminism,s,1,0
prettyclass,s,0,0
massiv-io,s,0,0
mime-mail-ses,s,0,0
nicify-lib,s,0,0
moesocks,s,0,0
alex,s,1,0
retry,s,0,0
X11,s,0,0
rdf,s,0,0
easytest,s,1,0
word24,s,1,0
lapack-ffi,s,0,0
type-spec,s,1,0
hspec-attoparsec,s,1,0
crypto-pubkey-types,s,0,0
nano-erl,s,0,0
HaTeX,s,2,0
persistent-iproute,s,0,0
persistent-template,s,1,0
xml-conduit-writer,s,1,0
curl,s,0,0
prim-uniq,s,0,0
lazyio,s,0,0
netpbm,s,1,0
safe-exceptions,s,1,0
clr-host,s,1,0
clock,s,1,0
http-api-data,s,0,0
enclosed-exceptions,s,0,0
lens-datetime,s,0,0
executable-path,s,0,0
megaparsec,s,1,0
double-conversion,s,1,0
th-orphans,s,1,0
groom,s,0,0
renderable,s,0,0
syb,s,1,0
wikicfp-scraper,s,1,0
distributive,s,2,0
yoga,s,0,0
yjtools,s,0,0
wizards,s,0,0
hailgun,s,0,0
TCache,s,0,0
hasty-hamiltonian,s,1,0
blaze-textual,s,1,0
system-fileio,s,0,0
hslua-aeson,s,1,0
lens-properties,s,0,0
prefix-units,s,1,0
language-nix,s,1,0
static-text,s,0,0
generic-deriving,s,1,0
post-mess-age,s,0,0
binary-shared,s,0,0
next-ref,s,0,0
docopt,s,1,0
hspec-core,s,1,0
vty,s,16,0
alternative-vector,s,0,0
rot13,s,1,0
libgraph,s,0,0
withdependencies,s,1,0
med-module,s,0,0
massiv,s,1,0
largeword,s,1,0
hxt-pickle-utils,s,0,0
event-list,s,1,0
gi-glib,s,0,0
strict-concurrency,s,0,0
doctemplates,s,1,0
yesod-gitrepo,s,0,0
ersatz,s,5,0
phantom-state,s,0,0
async-refresh-tokens,s,1,0
language-docker,s,1,0
compactmap,s,1,0
DAV,s,0,0
strict,s,0,0
type-level-integers,s,1,0
kan-extensions,s,0,0
ghc-tcplugins-extra,s,0,0
pcf-font,s,0,0
monad-metrics,s,1,0
ghc-exactprint,s,1,0
gi-gtk,s,0,0
prettyprinter-compat-ansi-wl-pprint,s,0,0
prettyprinter-compat-wl-pprint,s,0,0
servant-client-core,s,1,0
unique,s,0,0
nanospec,s,1,0
hmatrix-vector-sized,s,1,0
github-types,s,1,0
linux-namespaces,s,0,0
wire-streams,s,1,0
monad-loops,s,1,0
hjsmin,s,0,0
unbounded-delays,s,0,0
entropy,s,0,0
quickcheck-text,s,1,0
cubicspline,s,0,0
wl-pprint-extras,s,1,0
mintty,s,0,0
hw-xml,s,1,0
yes-precure5-command,s,1,0
dataurl,s,1,0
monad-control,s,0,0
code-page,s,1,0
resource-pool,s,0,0
tce-conf,s,1,0
stringsearch,s,0,0
picosat,s,0,0
foundation,s,3,0
text-show,s,1,0
data-msgpack-types,s,0,0
zip,s,1,0
mysql-haskell,s,0,0
serversession,s,1,0
tasty-hspec,s,0,0
tls,s,1,0
floatshow,s,0,0
gi-gdk,s,0,0
unix-compat,s,0,0
monad-par-extras,s,0,0
network-transport-inmemory,s,2,0
ed25519,s,0,0
tibetan-utils,s,0,0
test-framework-quickcheck2,s,0,0
lapack-carray,s,0,0
network-conduit-tls,s,1,0
gitrev,s,0,0
aeson-generic-compat,s,0,0
criterion,s,3,0
auto-update,s,0,0
wai-eventsource,s,0,0
semigroupoid-extras,s,0,0
jack,s,0,0
instance-control,s,0,0
lockfree-queue,s,1,0
glabrous,s,0,0
verbosity,s,0,0
koofr-client,s,0,0
aeson-iproute,s,1,0
network-attoparsec,s,1,0
th-strict-compat,s,0,0
rev-state,s,1,0
funcmp,s,0,0
HSlippyMap,s,0,0
matrix,s,2,0
gd,s,0,0
union-find,s,0,0
asn1-types,s,0,0
operational-class,s,0,0
jose,s,0,0
crypto-cipher-tests,s,1,0
hw-balancedparens,s,1,0
conduit-throttle,s,0,0
hedgehog,s,1,0
free-vl,s,1,0
io-region,s,1,0
servant-pandoc,s,0,0
writer-cps-lens,s,0,0
pretty-hex,s,0,0
uniplate,s,0,0
binary-parsers,s,0,0
configuration-tools,s,2,0
tree-fun,s,0,0
crypto-api,s,0,0
splitmix,s,2,0
spreadsheet,s,0,0
oauthenticated,s,1,0
th-nowq,s,1,0
quickcheck-arbitrary-adt,s,1,0
gi-gtksource,s,0,0
stm-stats,s,0,0
network,s,2,0
regex-compat-tdfa,s,0,0
data-default-instances-old-locale,s,0,0
async,s,1,0
word8,s,1,0
bit-stream,s,1,0
bytedump,s,0,0
partial-handler,s,0,0
pureMD5,s,1,0
websockets,s,1,0
tzdata,s,1,0
lifted-base,s,0,0
mono-traversable-instances,s,0,0
tz,s,4,0
x509-store,s,1,0
parsec,s,0,0
mcmc-types,s,0,0
conduit-iconv,s,1,0
bcrypt,s,0,0
req,s,2,0
html-conduit,s,1,0
action-permutations,s,0,0
connection,s,0,0
libmpd,s,1,0
mysql-haskell-openssl,s,0,0
pipes-misc,s,1,0
constraints,s,1,0
conduit-parse,s,2,0
xml-basic,s,0,0
type-operators,s,0,0
tree-diff,s,0,0
doctest,s,2,0
Ebnf2ps,s,0,0
dlist,s,1,0
protolude,s,0,0
codec,s,1,0
unit-constraint,s,0,0
shortcut-links,s,0,0
hashmap,s,0,0
bitset-word8,s,1,0
edit-distance-vector,s,1,0
matrices,s,1,0
string-class,s,0,0
conduit,s,1,0
classy-prelude-conduit,s,1,0
ref-fd,s,0,0
lens-family-th,s,1,0
servant-swagger,s,1,0
cryptonite-conduit,s,1,0
intro,s,1,0
monad-coroutine,s,0,0
data-default,s,0,0
servant-mock,s,0,0
HandsomeSoup,s,1,0
vector-instances,s,0,0
hledger-interest,s,0,0
semigroups,s,0,0
libffi,s,0,0
hoogle,s,0,0
servant-subscriber,s,0,0
interpolatedstring-perl6,s,0,0
bitcoin-api-extra,s,1,0
containers-unicode-symbols,s,0,0
overhang,s,0,0
integration,s,0,0
protocol-buffers-descriptor,s,0,0
hierarchical-clustering,s,1,0
line,s,1,0
ghc-parser,s,0,0
vivid-supercollider,s,1,0
feature-flags,s,0,0
justified-containers,s,1,0
arrow-list,s,0,0
bitx-bitcoin,s,3,0
ua-parser,s,1,0
Hoed,s,9,0
fixed-vector-hetero,s,0,0
HUnit,s,1,0
turtle,s,4,0
hw-diagnostics,s,0,0
th-reify-many,s,1,0
stm-extras,s,0,0
csv,s,0,0
test-framework-th,s,0,0
read-editor,s,0,0
cond,s,0,0
highlighting-kate,s,1,0
yesod-sitemap,s,0,0
ghc-typelits-knownnat,s,1,0
ip,s,0,0
servant-server,s,0,0
both,s,0,0
bsb-http-chunked,s,0,0
pager,s,0,0
Strafunski-StrategyLib,s,0,0
show-combinators,s,1,0
symengine,s,0,0
svg-tree,s,0,0
fmlist,s,0,0
path-pieces,s,1,0
ndjson-conduit,s,0,0
ofx,s,0,0
data-accessor-transformers,s,0,0
Spintax,s,0,0
result,s,1,0
smallcheck,s,0,0
ekg,s,0,0
irc-ctcp,s,0,0
speculation,s,0,0
stm-conduit,s,2,0
hxt-expat,s,0,0
leveldb-haskell,s,1,0
ghc-typelits-natnormalise,s,1,0
async-extra,s,0,0
tasty-auto,s,1,0
lens-family-core,s,0,0
elm-core-sources,s,0,0
gi-gobject,s,0,0
storablevector,s,1,0
hxt-http,s,0,0
iso639,s,0,0
rss-conduit,s,2,0
pqueue,s,1,0
accuerr,s,0,0
jwt,s,2,0
herms,s,0,0
code-builder,s,0,0
